,,,,,,,,,,,,,,,,,,,,,
,,Pricing,,,,Population,,,,Rent,,Schools,Transit,,SF Commute,,Mountain View Commute,,Quality of Life,,
County,City,Median Price,$ / Sq Foot,% 5 yr Appreciation in price,% 10 yr Appreciation in price,2018 Estimated Population,% change in pop 2015-2018,% change in pop 2013-2018,% change in pop 2010-2018,Montly Median,Short Term Monthly Rev,Average Elementary School Score,Has BART,Has Caltrain,Car Time (minutes),Public Transport Time,Car Time,Public Transport Time,Violent Crime,Property Crime,Walkscore
Alameda,Alameda," $ 968,800 ", $ 565 ,7%,6%,"78,338",-0.16%,2.39%,5.93%," $ 3,392 "," $ 2,904 ",  7.2 ,NO,NO,32,35,58,132,14.8,37.2,65
Alameda,Albany," $ 974,600 ", $ 778 ,6%,6%,"19,908",1.11%,3.58%,7.25%," $ 3,360 "," $ 2,414 ",  9.3 ,NO,NO,29,46,66,122,12.3,40.4,80
San Mateo,Belmont," $ 1,717,500 ", $ 969 ,8%,8%,"27,113",-0.41%,1.21%,4.77%," $ 4,610 "," $ 2,928 ",  8.5 ,NO,YES,45,45,21,30,9.3,24,46
Alameda,Berkeley," $ 1,216,000 ", $ 722 ,8%,6%,"121,643",0.75%,4.00%,7.77%," $ 3,565 "," $ 2,514 ",  6.5 ,YES,NO,28,52,48.8,108,28.5,64.6,81
Contra Costa,Brentwood," $ 586,100 ", $ 272 ,7%,6%,"63,800",8.46%,16.12%,23.14%," $ 2,630 "," $ 1,608 ",  5.7 ,NO,NO,81,122,89,246,14,33.8,35
San Mateo,Burlingame," $ 2,219,900 "," $ 1,133 ",7%,7%,"30,467",-0.02%,1.75%,5.65%," $ 4,871 "," $ 2,867 ",  8.3 ,NO,YES,35,26,37,44,11.5,41.4,66
Santa Clara,Campbell," $ 1,298,300 ", $ 765 ,9%,7%,"42,466",0.20%,1.19%,4.42%," $ 3,678 "," $ 2,490 ",  6.5 ,NO,NO,70,108,26,39,14,48.7,55
Contra Costa,Concord," $ 592,100 ", $ 386 ,6%,6%,"129,688",1.07%,2.99%,5.86%," $ 2,762 "," $ 2,164 ",  4.2 ,YES,NO,103,41,74,161,18.9,51,45
Marin,Corte Madera," $ 1,363,400 ", $ 843 ,6%,5%,"9,802",-1.03%,3.48%,5.69%," $ 4,931 "," $ 3,517 ",  8.0 ,NO,NO,34,70,72,149,16.5,28.1,62
